データ順番号,日付,曜日,開催,Ｒ,レース名,重量種別,限定,馬名S,Ｃ,性別,年齢,騎手,斤量,ブリンカー,頭数,馬印,レース印１,人気,着順,距離,馬場状態,着差,2角,3角,4角,上り3F,上3F地点差,馬体重,馬体重増減,多頭出し,所属,調教師,種牡馬,母父馬
93,200412,日,2阪6,11,桜花賞G1,定量,国,スマイルカナ,,牝,3,柴田大知, 55 ,,18,"  ",,9,３,芝1600,重,0.5,,1,1,38.6,0.0,416,0,,(美),高橋祥泰,ディープインパクト,"Distorted Humor"
94,200412,日,2阪6,11,桜花賞G1,定量,国,クラヴァシュドール,,牝,3,Ｍ．デム, 55 ,,18,"  ",,6,４,芝1600,重,0.7,,7,13,37.1,1.7,442,-4,*,(栗),中内田充,ハーツクライ,"Giant's Causeway"
95,200412,日,2阪6,11,桜花賞G1,定量,国,ミヤマザクラ,,牝,3,福永祐一, 55 ,,18,"  ",,7,５,芝1600,重,0.8,,3,8,37.8,1.1,470,+6,,(栗),藤原英昭,ディープインパクト,"Mr. Greeley"
96,200412,日,2阪6,11,桜花賞G1,定量,国,サンクテュエール,,牝,3,ルメール, 55 ,,18,"  ",,3,６,芝1600,重,0.8,,7,5,38.1,0.8,456,+2,,(美),藤沢和雄,ディープインパクト,"Canadian Frontier"
97,200412,日,2阪6,11,桜花賞G1,定量,国,フィオリキアリ,,牝,3,藤井勘一, 55 ,,18,"  ",,14,７,芝1600,重,1.0,,15,16,37.2,1.9,434,+8,,(栗),清水久詞,キズナ,"Successful Appeal"
98,200412,日,2阪6,11,桜花賞G1,定量,国,マルターズディオサ,,牝,3,田辺裕信, 55 ,,18,"  ",,5,８,芝1600,重,1.1,,3,3,38.8,0.4,440,-4,*,(美),手塚貴久,キズナ,"Grand Slam"
99,200412,日,2阪6,11,桜花賞G1,定量,国,エーポス,,牝,3,岩田康誠, 55 ,,18,"  ",,11,９,芝1600,重,1.2,,10,9,38.0,1.3,458,+12,*,(栗),北出成人,ジャスタウェイ,"Smart Strike"
100,200412,日,2阪6,11,桜花賞G1,定量,国,リアアメリア,,牝,3,川田将雅, 55 ,,18,"  ",,4,10,芝1600,重,1.2,,10,9,38.0,1.3,478,-4,*,(栗),中内田充,ディープインパクト,"Rockport Harbor"
101,200412,日,2阪6,11,桜花賞G1,定量,国,チェーンオブラブ,,牝,3,石橋脩, 55 ,,18,"  ",,16,11,芝1600,重,1.4,,18,14,37.7,1.8,466,+2,,(美),小笠倫弘,ハーツクライ,"Street Cry"
102,200412,日,2阪6,11,桜花賞G1,定量,国,マジックキャッスル,,牝,3,浜中俊, 55 ,,18,"  ",,8,12,芝1600,重,1.5,,15,14,37.8,1.8,424,-6,,(美),国枝栄,ディープインパクト,シンボリクリスエス
